09:00:43.450 DEBUG [7] 合约:i1709,最新价:501,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:41,毫秒数:970,平均价:510.395148046925,最新价与平均价距离:-9.39514804692453,成交量:678366,交易日:20170417 
09:00:43.950 DEBUG [7] 合约:i1709,最新价:501.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:42,毫秒数:440,平均价:510.38990774326,最新价与平均价距离:-8.88990774326049,成交量:678758,交易日:20170417 
09:00:44.454 DEBUG [7] 合约:i1709,最新价:501.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:42,毫秒数:969,平均价:510.388105913754,最新价与平均价距离:-8.88810591375363,成交量:678892,交易日:20170417 
09:00:44.959 DEBUG [7] 合约:i1709,最新价:501,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:43,毫秒数:463,平均价:510.386388069901,最新价与平均价距离:-9.38638806990059,成交量:679022,交易日:20170417 
09:00:45.453 DEBUG [7] 合约:i1709,最新价:501.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:43,毫秒数:969,平均价:510.381542768658,最新价与平均价距离:-8.88154276865833,成交量:679376,交易日:20170417 
09:00:45.949 DEBUG [7] 合约:i1709,最新价:501,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:44,毫秒数:464,平均价:510.380501108243,最新价与平均价距离:-9.38050110824281,成交量:679454,交易日:20170417 
09:00:46.450 DEBUG [7] 合约:i1709,最新价:501.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:44,毫秒数:970,平均价:510.374550674503,最新价与平均价距离:-8.87455067450304,成交量:679908,交易日:20170417 
09:00:46.950 DEBUG [7] 合约:i1709,最新价:502,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:45,毫秒数:457,平均价:510.371675964018,最新价与平均价距离:-8.37167596401821,成交量:680122,交易日:20170417 
09:00:47.452 DEBUG [7] 合约:i1709,最新价:502,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:45,毫秒数:958,平均价:510.368157354035,最新价与平均价距离:-8.36815735403485,成交量:680402,交易日:20170417 
09:00:47.959 DEBUG [7] 合约:i1709,最新价:502,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:46,毫秒数:468,平均价:510.361529898639,最新价与平均价距离:-8.36152989863922,成交量:680934,交易日:20170417 
09:00:48.451 DEBUG [7] 合约:i1709,最新价:502.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:46,毫秒数:936,平均价:510.358560783116,最新价与平均价距离:-7.85856078311627,成交量:681176,交易日:20170417 
